handle,followerCount
"canadianj.bsky.social",27094
"sweetbee.vip",27076
"plkleinauthor.bsky.social",27051
"bluemayling.bsky.social",27028
"jlentini09.bsky.social",27025
"jonworth.eu",26979
"tazinib1.bsky.social",26954
"juliaserano.bsky.social",26945
"anderspucknielsen.dk",26822
"steveklabnik.com",26765
"judymccarthy.bsky.social",26675
"naughtybutnicexx.bsky.social",26661
"nurserhonda91.bsky.social",26647
"myhlee.bsky.social",26638
"henryedwards3.bsky.social",26632
"naturehopper.bsky.social",26614
"icedaft.bsky.social",26529
"blueangel69.bsky.social",26502
"arzutuncc.bsky.social",26445
"akm0803.bsky.social",26429
"wtf85.bsky.social",26425
"1mollymcgee.bsky.social",26408
"dennis74.bsky.social",26310
"reiht-aug.bsky.social",26245
"jjmartin451.bsky.social",26232
"bluedotspecialfl.bsky.social",26225
"loudthorpe.bsky.social",26210
"blueelanenews.bsky.social",26177
"jesusherrerolopez.bsky.social",26156
"inlayterms.bsky.social",26144
"bessiethecow.bsky.social",26133
"thegreatpersky.bsky.social",26131
"mkhalid.bsky.social",26121
"rustymills.bsky.social",26118
"putomikel.bsky.social",26094
"brparalerdo.bsky.social",26087
"oceanbreezemegv.bsky.social",26059
"alperkaradagli.bsky.social",26054
"medicine.stitches.today",26046
"johnnythelayton.bsky.social",26046
"farukkocaman.bsky.social",25999
"subdude.bsky.social",25992
"kelownagirl.bsky.social",25991
"andrewdessler.com",25976
"hopefordemocracy28.bsky.social",25967
"naugtynonnie.bsky.social",25927
"beethovenssidekick.bsky.social",25915
"humormc.bsky.social",25886
"saintsophia.bsky.social",25869
"chancethelawyer.bsky.social",25865
"jcfineartphoto.bsky.social",25854
"freefromxhell.bsky.social",25817
"70andexhausted.bsky.social",25811
"boilerkitten.bsky.social",25781
"jctrip.bsky.social",25732
"tayicofarian.bsky.social",25693
"cstross.bsky.social",25693
"aozora-antenna.bsky.social",25692
"cindotx.bsky.social",25670
"hermes.cx",25669
"nicktsergas.ca",25653
"conspirator0.bsky.social",25640
"shelahblue.bsky.social",25584
"keithwhite832.bsky.social",25579
"missourihashish.bsky.social",25549
"richdunbar.ca",25511
"artologica.net",25507
"willyglen.bsky.social",25488
"silv3rfoxxx.bsky.social",25485
"keirahk.bsky.social",25474
"danesbringjoy.bsky.social",25465
"kathykatd.bsky.social",25438
"cheffinney.bsky.social",25408
"kingpapi.bsky.social",25395
"resistanceradio.bsky.social",25381
"theskyisnotblue.bsky.social",25349
"tiggsisacupcake.bsky.social",25348
"cekofficial.bsky.social",25342
"astropierre.com",25335
"mongeeese.bsky.social",25335
"sam-oputa.bsky.social",25331
"bewokeresist.bsky.social",25328
"brandibuchman.bsky.social",25273
"dyeager64.bsky.social",25268
"dougbluewahoo2.bsky.social",25258
"johnrogers.bsky.social",25247
"walterolson.bsky.social",25240
"vanessaglobal.bsky.social",25235
"iam1stewart.bsky.social",25191
"newsguy.bsky.social",25187
"extremecdnliberal.bsky.social",25177
"thecurrentfocus.bsky.social",25148
"tdpowers.bsky.social",25138
"trackerdoug.bsky.social",25131
"mrjoebrian.bsky.social",25092
"twangart.bsky.social",25043
"a7sam.bsky.social",25016
"muratarpaci.com",25003
"darleneheartecho.bsky.social",24977
"janeadams70.bsky.social",24967
"ghostofyossarian.bsky.social",24951
"aaron.bsky.team",24927
"wordstock.bsky.social",24854
"arnesemsrott.bsky.social",24844
"juiceps.art",24831
"nanettedanielsson.bsky.social",24788
